Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Paul Millsap,30,81,81,32.7,6.2,13.2,.470,0.9,2.9,.319,5.3,10.3,.512,.505,3.8,5.0,.757,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,17.1
2,Al Horford,29,82,82,32.1,6.5,12.8,.505,1.1,3.1,.344,5.4,9.7,.557,.547,1.3,1.6,.798,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2.0,15.2
3,Kyle Korver,34,80,80,30.0,3.4,7.7,.435,2.0,5.0,.398,1.4,2.7,.502,.563,0.6,0.7,.833,0.2,3.1,3.3,2.1,0.8,0.4,1.2,2.0,9.2
4,Jeff Teague,27,79,78,28.5,5.5,12.5,.439,1.4,3.5,.400,4.1,9.0,.454,.495,3.3,3.9,.837,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,15.7
5,Kent Bazemore,26,75,68,27.8,4.3,9.7,.441,1.5,4.1,.357,2.8,5.6,.502,.517,1.6,2.0,.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6
6,Thabo Sefolosha,31,75,11,23.4,2.5,5.0,.505,0.6,1.7,.339,1.9,3.3,.589,.562,0.8,1.3,.626,0.7,3.8,4.5,1.4,1.1,0.5,0.9,1.5,6.4
7,Dennis Schroder,22,80,6,20.3,4.1,9.8,.421,1.0,3.0,.322,3.2,6.8,.465,.471,1.8,2.3,.791,0.3,2.2,2.6,4.4,0.9,0.1,2.3,1.7,11.0
8,Tim Hardaway,23,51,1,16.9,2.2,5.2,.430,0.9,2.8,.338,1.3,2.4,.537,.521,1.0,1.1,.893,0.1,1.5,1.7,1.0,0.4,0.1,0.5,0.9,6.4
9,Tiago Splitter,31,36,2,16.1,2.3,4.3,.523,0.0,0.1,.000,2.3,4.3,.529,.523,1.1,1.3,.813,1.3,2.1,3.3,0.8,0.6,0.3,0.7,2.0,5.6
10,Mike Scott,27,75,0,15.3,2.3,5.0,.468,0.8,2.1,.392,1.5,2.9,.523,.551,0.7,0.8,.794,0.7,2.0,2.7,1.0,0.3,0.2,0.6,1.4,6.2
11,Kris Humphries,30,21,0,14.0,2.2,4.8,.465,0.4,1.5,.258,1.9,3.3,.557,.505,1.5,2.1,.711,1.0,2.4,3.4,0.6,0.5,0.3,0.7,2.1,6.4
12,Lamar Patterson,24,35,0,11.3,0.8,2.3,.350,0.3,1.4,.245,0.5,0.9,.516,.425,0.5,0.6,.727,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,2.4
13,Justin Holiday,26,26,1,10.1,0.9,2.8,.329,0.4,1.7,.222,0.5,1.1,.500,.397,0.2,0.4,.500,0.2,0.9,1.0,0.4,0.5,0.2,0.5,0.8,2.4
14,Mike Muscala,24,60,0,9.4,1.3,2.5,.500,0.2,0.7,.308,1.1,1.9,.566,.539,0.5,0.7,.795,0.6,1.3,2.0,0.6,0.2,0.5,0.5,1.2,3.3
15,Shelvin Mack,25,24,0,7.5,1.7,4.0,.421,0.2,1.1,.148,1.5,2.8,.529,.442,0.4,0.5,.750,0.1,0.8,0.9,1.6,0.3,0.0,0.6,0.3,3.9
16,Kirk Hinrich,35,11,0,6.9,0.2,1.0,.182,0.1,0.5,.167,0.1,0.5,.200,.227,0.0,0.0,0.0,0.1,1.0,1.1,1.3,0.2,0.1,0.3,0.1,0.5
17,Edy Tavares,23,11,0,6.6,1.0,1.7,.579,0.0,0.0,0.0,1.0,1.7,.579,.579,0.3,0.7,.375,0.6,1.3,1.9,0.3,0.1,0.5,0.5,0.7,2.3
